Date,Hours,Words,LOC,Ready %,Finished %,Ready #,Finished #,Lamina Bloops Complete,Todo Bloops Complete
2020-07-31,1,27857,,,25%,,,43,
2020-08-11,0.75,27856,,,25%,,,43,
2020-08-18,1,28216,,,25%,,,43,
2020-09-01,1,28597,,,25%,,,43,
2020-09-08,0.75,28718,,,25%,,,43,
2020-09-10,0.25,28887,,,25%,,,43,
2020-10-09,0.5,29085,,,25%,,,43,
2020-10-13,1,29339,,,25%,,,43,
2020-10-18,0.75,29695,,,25%,,,43,
2020-11-02,0.25,29887,,,26%,,,44,
2020-11-03,0.25,29853,,,26%,,,44,
2020-11-09,0.25,30164,,,26%,,,44,
2020-11-09,0.75,30304,,,26%,,,44,
2020-11-10,0.5,30281,,,26%,,,44,
2020-11-11,0.5,30358,,,26%,,,44,
2020-11-12,0.5,30460,,,26%,,,44,
2020-11-13,1,30523,,,26%,,,44,
2020-11-14,0.25,30649,,,26%,,,44,
2020-11-15,0.33,30817,,,26%,,,44,
2020-11-18,1,31025,,,26%,,,44,
2020-11-19,0.75,31241,,,26%,,,44,
2020-11-20,0.5,31291,,,26%,,,44,
2020-11-21,0.5,31447,,,26%,,,44,
2020-11-22,0.5,31468,,,26%,,,44,
2020-11-23,0.25,31511,,,26%,,,44,
2020-11-24,1.25,31775,,,26%,,,44,
2020-11-25,0.67,31740,,,26%,,,44,
2020-11-28,0.5,31730,,,26%,,,44,
2020-11-29,1,31735,,,26%,,,44,
2020-11-30,1,31716,,,27%,,,45,
2021-01-05,1,32231,,,27%,,,45,
2021-01-06,1,32731,,,27%,,,45,
2021-01-07,1,33041,,,27%,,,46,
2021-01-10,0.75,33151,,,27%,,,46,
2021-01-11,0.5,33385,,,27%,,,46,
2021-01-12,0.5,33425,,,27%,,,46,
2021-01-13,0.75,33512,,,27%,,,46,
2021-01-14,0.75,33530,,,27%,,,46,
2021-01-15,0.5,33527,,,27%,,,46,
2021-01-15,0.5,33713,,,27%,,,46,
2021-01-18,0.5,33713,,,27%,,,46,
2021-01-18,1.5,34409,,,27%,,,46,
2021-01-19,0.5,34963,,,27%,,,46,
2021-01-20,0.75,35472,918,,27%,,,46,
2021-01-22,2,35472,918,,28%,,,46,
2021-01-23,1,35627,935,,28%,,,46,
2021-01-25,0.5,35710,937,,28%,,,46,
2021-01-26,0.75,35925,937,,28%,,,46,
2021-01-27,1,36117,937,,28%,,,46,
2021-01-28,1,36423,939,,28%,,,46,
2021-01-29,0.75,36554,939,,28%,,,46,
2021-01-30,2,36574,941,,28%,,,46,
2021-02-01,1,36819,941,,28%,,,46,
2021-02-02,0.75,36362,941,,28%,,,46,
2021-02-03,0.5,36459,941,,28%,,,46,
2021-02-04,0.75,36504,941,,28%,,,46,
2021-02-05,1,36494,941,,29%,,,47,
2021-02-07,1.5,36497,941,,29%,,,47,
2021-02-10,1,36497,941,,29%,,,47,
2021-02-11,0.5,36497,941,,29%,,,47,
2021-02-12,1,36497,974,19%,31%,9,71,47,24
2021-02-23,0.5,36497,997,19%,31%,9,71,47,24
2021-03-06,0.5,36497,997,19%,31%,9,71,47,24
2021-03-16,1,36497,997,19%,31%,9,72,47,25
2021-03-17,1.5,36880,997,19%,31%,9,72,47,25
2021-03-18,1,37036,997,19%,31%,9,72,47,25
2021-03-19,0.75,37130,997,19%,31%,9,72,47,25
2021-03-29,0.5,37510,997,19%,31%,9,72,47,25
2021-03-30,0.5,37581,997,19%,31%,9,72,47,25
2021-04-01,0.75,37769,997,19%,31%,9,72,47,25
2021-04-02,0.5,37693,997,19%,31%,9,72,47,25
2021-04-03,0.5,37872,1001,21%,32%,10,73,48,25
2021-04-04,1,37897,1009,21%,32%,10,74,49,25
2021-04-08,0.25,38178,1005,21%,32%,10,74,49,25
